Titulo,Autor,Edad,Link,Fecha,Respuestas,Imagen
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png
Is Fortnite worth playing in 2022?,sussy_bobby,23,https://gamehag.com/forum/t/534728-is-fortnite-worth-playing-in-2022,12 hours ago,15,https://gamehag.com/img/rank/1.png
Fortnite or PUBG,ZeroK716,22,https://gamehag.com/forum/t/169252-fortnite-or-pubg29,3 weeks ago,115,https://gamehag.com/img/rank/1.png
how many level you have in fortnite,spiderguy2068,22,https://gamehag.com/forum/t/544845-how-many-level-you-have-in-fortnite,3 weeks ago,4,https://gamehag.com/img/rank/1.png
FORNITE VS PUBG,gabe_jent,13,https://gamehag.com/forum/t/488380-fornite-vs-pubg6,1 day ago,13,https://gamehag.com/img/rank/1.png
Fortnite or Minecraft?,gabe_jent,13,https://gamehag.com/forum/t/442819-fortnite-or-minecraft22,1 day ago,44,https://gamehag.com/img/rank/1.png
Why do YOU still play fortnite?,f1fer1,"",https://gamehag.com/forum/t/543200-why-do-you-still-play-fortnite,1 week ago,17,https://gamehag.com/img/rank/1.png
Pc or Console?,AxoChuck,22,https://gamehag.com/forum/t/414682-pc-or-console2,1 week ago,186,https://gamehag.com/img/rank/1.png
fortnite or roblox,AxoChuck,22,https://gamehag.com/forum/t/466249-fortnite-or-roblox29,1 week ago,32,https://gamehag.com/img/rank/1.png
Fortnite Or Roblox? What do you choose?,LoreSquad,22,https://gamehag.com/forum/t/172558-fortnite-or-roblox-what-do-you-choose,2 weeks ago,11,https://gamehag.com/img/rank/1.png
Entropia Universe upgrading engine,jack_trudeau,"",https://gamehag.com/forum/t/545027-entropia-universe-upgrading-engine,2 weeks ago,1,https://gamehag.com/img/rank/3.png
How many skins do you have ?,honzamungo,23,https://gamehag.com/forum/t/543686-how-many-skins-do-you-have-,3 weeks ago,4,https://gamehag.com/img/rank/1.png
how much skins you have?,tomas125cz2,33,https://gamehag.com/forum/t/468125-how-much-skins-you-have,3 weeks ago,19,https://gamehag.com/img/rank/2.png
fortinie or PUBG,yasdfo,22,https://gamehag.com/forum/t/543622-fortinie-or-pubg,4 months ago,3,https://gamehag.com/img/rank/1.png
what are your fortnite skins ?,sander2586,23,https://gamehag.com/forum/t/473119-what-are-your-fortnite-skins-,1 month ago,7,https://gamehag.com/img/rank/4.png
how to win in fortnite,mohtaseb12345,17,https://gamehag.com/forum/t/446852-how-to-win-in-fortnite,1 month ago,28,https://gamehag.com/img/rank/2.png
Free skins,ARSONIST101591,"",https://gamehag.com/forum/t/246069-free-skins5,1 month ago,8,https://gamehag.com/img/rank/1.png
Is Fortnite good or bad for kids?,ocea375,22,https://gamehag.com/forum/t/518140-is-fortnite-good-or-bad-for-kids,4 months ago,5,https://gamehag.com/img/rank/1.png
fortnite is dead,alanecraft,23,https://gamehag.com/forum/t/478670-fortnite-is-dead11,1 year ago,10,https://gamehag.com/img/rank/2.png
Fortnite battle Royal ,eripiperi,"",https://gamehag.com/forum/t/543953-fortnite-battle-royal-4,3 months ago,2,https://gamehag.com/img/rank/1.png
VALORANT OR FORNITE ,gatosauriogake,10,https://gamehag.com/forum/t/538504-valorant-or-fornite-,3 months ago,12,https://gamehag.com/img/rank/1.png
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png
Fortnite vs CSGO,Bebban2,21,https://gamehag.com/forum/t/543791-fortnite-vs-csgo6,3 months ago,1,https://gamehag.com/img/rank/3.png
fortnite or apex legends?,radekcerny256,2,https://gamehag.com/forum/t/476967-fortnite-or-apex-legends7,1 year ago,16,https://gamehag.com/img/rank/1.png
fortnite game lol,tufboyi,25,https://gamehag.com/forum/t/534674-fortnite-game-lol,1 year ago,2,https://gamehag.com/img/rank/2.png
Fornite vs Pubg,shmulik,33,https://gamehag.com/forum/t/543455-fornite-vs-pubg8,4 months ago,4,https://gamehag.com/img/rank/1.png
Fortnite or Pubg,Derased3,35,https://gamehag.com/forum/t/419180-fortnite-or-pubg85,2 years ago,4,https://gamehag.com/img/rank/2.png
dababy lesss goo,Jashandeep0308,"",https://gamehag.com/forum/t/476710-dababy-lesss-goo,1 year ago,2,https://gamehag.com/img/rank/3.png
Free Vbucks,Sirmario,"",https://gamehag.com/forum/t/49910-free-vbucks1,6 months ago,36,https://gamehag.com/img/rank/1.png
FPS Issues,Jashandeep0308,"",https://gamehag.com/forum/t/474577-fps-issues,1 year ago,9,https://gamehag.com/img/rank/3.png
What should they do to the MK,ianluigi,25,https://gamehag.com/forum/t/540889-what-should-they-do-to-the-mk,9 months ago,2,https://gamehag.com/img/rank/3.png
Ps or Xbox,robloxgamersss,15,https://gamehag.com/forum/t/531931-ps-or-xbox,1 year ago,14,https://gamehag.com/img/rank/2.png
what kind game is this,linikar101,"",https://gamehag.com/forum/t/531824-what-kind-game-is-this,9 months ago,4,https://gamehag.com/img/rank/1.png
whats your opinion on the game ,admonky,"",https://gamehag.com/forum/t/524536-whats-your-opinion-on-the-game-,1 year ago,2,https://gamehag.com/img/rank/1.png
Fortnite or pubg?,Souisse444,1,https://gamehag.com/forum/t/120382-fortnite-or-pubg15,1 year ago,172,https://gamehag.com/img/rank/2.png
Re-enabling Cosmetics in Rift?,KeviTheRock,"",https://gamehag.com/forum/t/540319-re-enabling-cosmetics-in-rift,10 months ago,2,https://gamehag.com/img/rank/1.png
Is fortnite getting badder due to updates?,emanuel_gherasim,67,https://gamehag.com/forum/t/538592-is-fortnite-getting-badder-due-to-updates,11 months ago,2,https://gamehag.com/img/rank/7.png
Valorant vs. Fortnite,mir337,"",https://gamehag.com/forum/t/483999-valorant-vs-fortnite,1 year ago,14,https://gamehag.com/img/rank/1.png
is pc rhe easiers,Wizpl,"",https://gamehag.com/forum/t/532070-is-pc-rhe-easiers,1 year ago,2,https://gamehag.com/img/rank/2.png
Fortnite Battle Royale Vietnamese community 'crying half-heartedly' before the raging hacking,ivervs,10,https://gamehag.com/forum/t/524257-fortnite-battle-royale-vietnamese-community-crying-half-heartedly-before-the-raging-hacking,1 year ago,9,https://gamehag.com/img/rank/1.png
Fortnite moments only og's remember..,bbadumts_hehe,"",https://gamehag.com/forum/t/535416-fortnite-moments-only-ogs-remember,11 months ago,1,https://gamehag.com/img/rank/1.png
How long have you been playing fortnite ,prokidnoob13,25,https://gamehag.com/forum/t/448943-how-long-have-you-been-playing-fortnite-,1 year ago,14,https://gamehag.com/img/rank/1.png
Comments reviews and ratings of the game F: Battle Royale,Tadik95,19,https://gamehag.com/games/fortnite/comments,1 week ago,1089,https://gamehag.com/img/rank/1.png
When you start play fortnite??,sshuume,27,https://gamehag.com/forum/t/126845-when-you-start-play-fortnite,3 years ago,14,https://gamehag.com/img/rank/2.png
do you have a big chance to get v bucks from chests,nadavgv19,15,https://gamehag.com/forum/t/35817-do-you-have-a-big-chance-to-get-v-bucks-from-chests,1 year ago,24,https://gamehag.com/img/rank/3.png
In Fortnite you can have cool skins,justjoelok,1,https://gamehag.com/forum/t/526716-in-fortnite-you-can-have-cool-skins,1 year ago,3,https://gamehag.com/img/rank/1.png
Fortnite all night i want some XP :D,halkeshwar_singh_rathia,"",https://gamehag.com/forum/t/523728-fortnite-all-night-i-want-some-xp-d,1 year ago,9,https://gamehag.com/img/rank/1.png
i prefer roblox,tzacalie,41,https://gamehag.com/forum/t/524927-i-prefer-roblox,1 year ago,11,https://gamehag.com/img/rank/2.png
Who plays this game on the daily with friends?,smilessSIMPP,23,https://gamehag.com/forum/t/472145-who-plays-this-game-on-the-daily-with-friends,1 year ago,23,https://gamehag.com/img/rank/1.png
What do you think about valorant,prancis,33,https://gamehag.com/forum/t/525473-what-do-you-think-about-valorant1,1 year ago,5,https://gamehag.com/img/rank/1.png
fortnite battle royale,psglgdnothing_to_say,20,https://gamehag.com/forum/t/521268-fortnite--battle-royale1,1 year ago,1,https://gamehag.com/img/rank/2.png
Free Experience !!! ,omerbaba58,27,https://gamehag.com/forum/t/169640-free-experience--,3 years ago,14,https://gamehag.com/img/rank/2.png
fortnite do tou to join my clan,jimbob123456789,"",https://gamehag.com/forum/t/520313-fortnite-do-tou-to-join-my-clan,1 year ago,1,https://gamehag.com/img/rank/1.png
is rick still in this season,bodhi_sugano,15,https://gamehag.com/forum/t/519447-is-rick-still-in-this-season,1 year ago,2,https://gamehag.com/img/rank/1.png
Fortnite or Pubg? ..... i think Fortnite,Hoavan,"",https://gamehag.com/forum/t/517756-fortnite-or-pubg----i-think-fortnite,1 year ago,4,https://gamehag.com/img/rank/1.png
FORTNİTE DANCE or ROBLOX DANCE ?,OYUNKANALIGAMER55,28,https://gamehag.com/forum/t/487913-fortnte-dance-or-roblox-dance-,1 year ago,3,https://gamehag.com/img/rank/2.png
Do u think fortnite fun,IPlayMC4,"",https://gamehag.com/forum/t/519135-do-u-think-fortnite-fun,1 year ago,2,https://gamehag.com/img/rank/1.png
